INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	SMILES
estradiol	Expert Validated Synonym	DTXSID0020573	17beta-Estradiol	50-28-2	(17beta)-Estra-1(10),2,4-triene-3,17-diol	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
phenformin	Approved Name	DTXSID1023449	Phenformin	114-86-3	N-(2-Phenylethyl)triimidodicarbonic diamide	NC(=N)NC(=N)NCCC1=CC=CC=C1
metformin	Approved Name	DTXSID2023270	Metformin	657-24-9	N,N-Dimethyltriimidodicarbonic diamide	CN(C)C(=N)NC(N)=N
phenyl biguanide	Approved Name	DTXSID90144508	Phenyl biguanide	102-02-3	N-(Diaminomethylidene)-N''-phenylguanidine	NC(N)=N\C(N)=N\C1=CC=CC=C1
alpha-estradiol	Synonym	DTXSID8022377	17alpha-Estradiol	57-91-0	(17alpha)-Estra-1,3,5(10)-triene-3,17-diol	C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
valproic acid	Approved Name	DTXSID6023733	Valproic acid	99-66-1	2-Propylpentanoic acid	CCCC(CCC)C(O)=O
dexamethasone	Approved Name	DTXSID3020384	Dexamethasone	50-02-2	(11beta,16alpha)-9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
exemestane	Approved Name	DTXSID5023037	Exemestane	107868-30-4	6-Methylideneandrosta-1,4-diene-3,17-dione	C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
tamoxifen	Approved Name	DTXSID1034187	Tamoxifen	10540-29-1	2-{4-[(1Z)-1,2-Diphenylbut-1-en-1-yl]phenoxy}-N,N-dimethylethan-1-amine	CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
tolbutamide	Approved Name	DTXSID8021359	Tolbutamide	64-77-7	N-(Butylcarbamoyl)-4-methylbenzene-1-sulfonamide	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
chlorpropamide	Approved Name	DTXSID9020322	Chlorpropamide	94-20-2	4-Chloro-N-(propylcarbamoyl)benzene-1-sulfonamide	CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
verapamil	Approved Name	DTXSID9041152	Verapamil	52-53-9	2-(3,4-Dimethoxyphenyl)-5-{[2-(3,4-dimethoxyphenyl)ethyl](methyl)amino}-2-(propan-2-yl)pentanenitrile	COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC
dexverapamil	NO_MATCH	-	-	-	-	-
mesalazine	Synonym from Valid Source	DTXSID5024506	5-Aminosalicylic acid	89-57-6	5-Amino-2-hydroxybenzoic acid	NC1=CC=C(O)C(=C1)C(O)=O
rofecoxib	Approved Name	DTXSID2023567	Rofecoxib	162011-90-7	4-[4-(Methanesulfonyl)phenyl]-3-phenylfuran-2(5H)-one	CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1
nordihydroguaiaretic acid	Approved Name	DTXSID5022437	Nordihydroguaiaretic acid	500-38-9	4,4'-(2,3-Dimethylbutane-1,4-diyl)di(benzene-1,2-diol)	CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1
amitriptyline	Approved Name	DTXSID7022594	Amitriptyline	50-48-6	3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine	CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
sulindac	Approved Name	DTXSID4023624	Sulindac	38194-50-2	[(1Z)-5-Fluoro-1-{[4-(methanesulfinyl)phenyl]methylidene}-2-methyl-1H-inden-3-yl]acetic acid	CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O
raloxifene	Approved Name	DTXSID3023550	Raloxifene	84449-90-1	[6-Hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]{4-[2-(piperidin-1-yl)ethoxy]phenyl}methanone	OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1
15-delta prostaglandin J2	NO_MATCH	-	-	-	-	-
tacrolimus	Approved Name	DTXSID5046354	Tacrolimus	104987-11-3	(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-5,19-Dihydroxy-3-{(1E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl}-14,16-dimethoxy-4,10,12,18-tetramethyl-8-(prop-2-en-1-yl)-5,6,8,11,12,13,14,15,16,17,18,19,24,25,26,26a-hexadecahydro-3H-15,19-epoxypyrido[2,1-c][1,4]oxazacyclotricosine-1,7,20,21(4H,23H)-tetrone	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
sulfasalazine	Approved Name	DTXSID0021256	Sulfasalazine	599-79-1	2-Hydroxy-5-[(E)-{4-[(pyridin-2-yl)sulfamoyl]phenyl}diazenyl]benzoic acid	OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
celecoxib	Approved Name	DTXSID0022777	Celecoxib	169590-42-5	4-[5-(4-Methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]benzene-1-sulfonamide	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
LM-1685	NO_MATCH	-	-	-	-	-
SC-58125	Synonym	DTXSID00167304	1-((4-Methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	162054-19-5	5-(4-Fluorophenyl)-1-[4-(methanesulfonyl)phenyl]-3-(trifluoromethyl)-1H-pyrazole	CS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(F)C=C1)C(F)(F)F
tanespimycin	Approved Name	DTXSID5046352	Tanespimycin	75747-14-7	(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-Hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-[(prop-2-en-1-yl)amino]-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
TTNPB	Expert Validated Synonym	DTXSID6040743	Arotinoid acid	71441-28-6	4-[(1E)-2-(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)prop-1-en-1-yl]benzoic acid	C\C(=C/C1=CC=C(C=C1)C(O)=O)C1=CC2=C(C=C1)C(C)(C)CCC2(C)C
