INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
estradiol	Expert Validated Synonym	DTXSID0020573	17beta-Estradiol	50-28-2	(17beta)-Estra-1(10),2,4-triene-3,17-diol	InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1	98	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O
phenformin	Approved Name	DTXSID1023449	Phenformin	114-86-3	N-(2-Phenylethyl)triimidodicarbonic diamide	InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)	32	NC(=N)NC(=N)NCCC1=CC=CC=C1
metformin	Approved Name	DTXSID2023270	Metformin	657-24-9	N,N-Dimethyltriimidodicarbonic diamide	InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)	63	CN(C)C(=N)NC(N)=N
phenyl biguanide	Approved Name	DTXSID90144508	Phenyl biguanide	102-02-3	N-(Diaminomethylidene)-N''-phenylguanidine	InChI=1S/C8H11N5/c9-7(10)13-8(11)12-6-4-2-1-3-5-6/h1-5H,(H6,9,10,11,12,13)	19	NC(N)=N\C(N)=N\C1=CC=CC=C1
alpha-estradiol	Synonym	DTXSID8022377	17alpha-Estradiol	57-91-0	(17alpha)-Estra-1,3,5(10)-triene-3,17-diol	InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17-,18+/m1/s1	64	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O
valproic acid	Approved Name	DTXSID6023733	Valproic acid	99-66-1	2-Propylpentanoic acid	InChI=1S/C8H16O2/c1-3-5-7(6-4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)	86	CCCC(CCC)C(O)=O
dexamethasone	Approved Name	DTXSID3020384	Dexamethasone	50-02-2	(11beta,16alpha)-9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1	81	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
exemestane	Approved Name	DTXSID5023037	Exemestane	107868-30-4	6-Methylideneandrosta-1,4-diene-3,17-dione	InChI=1S/C20H24O2/c1-12-10-14-15-4-5-18(22)20(15,3)9-7-16(14)19(2)8-6-13(21)11-17(12)19/h6,8,11,14-16H,1,4-5,7,9-10H2,2-3H3/t14-,15-,16-,19+,20-/m0/s1	38	CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
tamoxifen	Approved Name	DTXSID1034187	Tamoxifen	10540-29-1	2-{4-[(1Z)-1,2-Diphenylbut-1-en-1-yl]phenoxy}-N,N-dimethylethan-1-amine	InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3/b26-25-	80	CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
tolbutamide	Approved Name	DTXSID8021359	Tolbutamide	64-77-7	N-(Butylcarbamoyl)-4-methylbenzene-1-sulfonamide	InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)	62	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
