INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	INCHIKEY	IUPAC_NAME	SMILES	QSAR_READY_SMILES
5109870	NO_MATCH	-	-	-	-	-	-	-
5114445	NO_MATCH	-	-	-	-	-	-	-
5140203	NO_MATCH	-	-	-	-	-	-	-
5149715	NO_MATCH	-	-	-	-	-	-	-
5151277	NO_MATCH	-	-	-	-	-	-	-
5152487	NO_MATCH	-	-	-	-	-	-	-
5155877	NO_MATCH	-	-	-	-	-	-	-
5162773	NO_MATCH	-	-	-	-	-	-	-
5182598	NO_MATCH	-	-	-	-	-	-	-
5186223	NO_MATCH	-	-	-	-	-	-	-
5186324	NO_MATCH	-	-	-	-	-	-	-
5194442	NO_MATCH	-	-	-	-	-	-	-
5211181	NO_MATCH	-	-	-	-	-	-	-
5213008	NO_MATCH	-	-	-	-	-	-	-
5224221	NO_MATCH	-	-	-	-	-	-	-
5230742	NO_MATCH	-	-	-	-	-	-	-
5248896	NO_MATCH	-	-	-	-	-	-	-
5252917	NO_MATCH	-	-	-	-	-	-	-
5253409	NO_MATCH	-	-	-	-	-	-	-
5255229	NO_MATCH	-	-	-	-	-	-	-
5279552	NO_MATCH	-	-	-	-	-	-	-
5286656	NO_MATCH	-	-	-	-	-	-	-
5666823	NO_MATCH	-	-	-	-	-	-	-
5707885	NO_MATCH	-	-	-	-	-	-	-
(+)-chelidonine	NO_MATCH	-	-	-	-	-	-	-
(+)-isoprenaline	NO_MATCH	-	-	-	-	-	-	-
(+/-)-catechin	Synonym	DTXSID3022322	Cianidanol	154-23-4	PFTAWBLQPZVEMU-DZGCQCFKSA-N	(2R,3S)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol	O[C@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O	OC1CC2=C(OC1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O
(-)-MK-801	NO_MATCH	-	-	-	-	-	-	-
(-)-atenolol	Synonym	DTXSID10239405	Esatenolol	93379-54-5	METKIMKYRPQLGS-LBPRGKRZSA-N	2-(4-{(2S)-2-Hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)acetamide	CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
