,probe_id,gene_id,is_multiple,accession,gene_name,symbol
0,1007_s_at,780,1,U48705,discoidin domain receptor tyrosine kinase 1,DDR1
1,207169_x_at,780,1,NM_001954,discoidin domain receptor tyrosine kinase 1,DDR1
2,208779_x_at,780,1,L20817,discoidin domain receptor tyrosine kinase 1,DDR1
3,210749_x_at,780,1,L11315,discoidin domain receptor tyrosine kinase 1,DDR1
4,1007_s_at,100616237,1,U48705,microRNA 4640,MIR4640
5,207169_x_at,100616237,1,NM_001954,microRNA 4640,MIR4640
6,208779_x_at,100616237,1,L20817,microRNA 4640,MIR4640
7,210749_x_at,100616237,1,L11315,microRNA 4640,MIR4640
8,1053_at,5982,0,M87338,replication factor C subunit 2,RFC2
9,203696_s_at,5982,0,NM_002914,replication factor C subunit 2,RFC2
10,117_at,3310,0,X51757,heat shock protein family A (Hsp70) member 6,HSPA6
11,213418_at,3310,0,NM_002155,heat shock protein family A (Hsp70) member 6,HSPA6
12,121_at,7849,0,X69699,paired box 8,PAX8
13,207921_x_at,7849,0,NM_013952,paired box 8,PAX8
14,207923_x_at,7849,0,NM_013953,paired box 8,PAX8
15,207924_x_at,7849,0,NM_013992,paired box 8,PAX8
16,209552_at,7849,0,BC001060,paired box 8,PAX8
17,213917_at,7849,0,BE465829,paired box 8,PAX8
18,214528_s_at,7849,0,NM_013951,paired box 8,PAX8
19,221990_at,7849,0,AI948472,paired box 8,PAX8
20,1255_g_at,2978,0,L36861,guanylate cyclase activator 1A,GUCA1A
21,206062_at,2978,0,L36861,guanylate cyclase activator 1A,GUCA1A
22,1294_at,7318,1,L13852,ubiquitin like modifier activating enzyme 7,UBA7
23,203281_s_at,7318,1,NM_003335,ubiquitin like modifier activating enzyme 7,UBA7
24,1294_at,100847079,1,L13852,microRNA 5193,MIR5193
25,203281_s_at,100847079,1,NM_003335,microRNA 5193,MIR5193
26,1316_at,7067,0,X55005,"thyroid hormone receptor, alpha",THRA
27,204100_at,7067,0,NM_003250,"thyroid hormone receptor, alpha",THRA
28,204760_s_at,7067,1,NM_021724,"thyroid hormone receptor, alpha",THRA
29,214883_at,7067,0,X55005,"thyroid hormone receptor, alpha",THRA
30,217476_at,7067,1,M24900,"thyroid hormone receptor, alpha",THRA
31,31637_s_at,7067,1,X72631,"thyroid hormone receptor, alpha",THRA
32,35846_at,7067,0,M24899,"thyroid hormone receptor, alpha",THRA
33,1320_at,11099,0,X79510,"protein tyrosine phosphatase, non-receptor type 21",PTPN21
34,205438_at,11099,0,NM_007039,"protein tyrosine phosphatase, non-receptor type 21",PTPN21
35,222092_at,11099,0,BF116199,"protein tyrosine phosphatase, non-receptor type 21",PTPN21
36,40524_at,11099,0,X79510,"protein tyrosine phosphatase, non-receptor type 21",PTPN21
37,1405_i_at,6352,0,M21121,C-C motif chemokine ligand 5,CCL5
38,204655_at,6352,0,NM_002985,C-C motif chemokine ligand 5,CCL5
39,1431_at,1571,0,J02843,cytochrome P450 family 2 subfamily E member 1,CYP2E1
40,209975_at,1571,0,AF182276,cytochrome P450 family 2 subfamily E member 1,CYP2E1
41,209976_s_at,1571,0,AF182276,cytochrome P450 family 2 subfamily E member 1,CYP2E1
42,222100_at,1571,0,AV650427,cytochrome P450 family 2 subfamily E member 1,CYP2E1
43,1438_at,2049,0,X75208,EPH receptor B3,EPHB3
44,204600_at,2049,0,NM_004443,EPH receptor B3,EPHB3
45,1487_at,2101,0,L38487,estrogen related receptor alpha,ESRRA
46,203193_at,2101,0,NM_004451,estrogen related receptor alpha,ESRRA
47,1494_f_at,1548,0,M33318,cytochrome P450 family 2 subfamily A member 6,CYP2A6
48,207244_x_at,1548,0,NM_000762,cytochrome P450 family 2 subfamily A member 6,CYP2A6
49,211295_x_at,1548,0,AF182275,cytochrome P450 family 2 subfamily A member 6,CYP2A6
50,214320_x_at,1548,1,T67741,cytochrome P450 family 2 subfamily A member 6,CYP2A6
51,1598_g_at,2621,0,L13720,growth arrest specific 6,GAS6
52,202177_at,2621,0,NM_000820,growth arrest specific 6,GAS6
53,160020_at,4323,0,Z48481,matrix metallopeptidase 14,MMP14
54,202827_s_at,4323,0,AU149305,matrix metallopeptidase 14,MMP14
55,202828_s_at,4323,0,NM_004995,matrix metallopeptidase 14,MMP14
56,217279_x_at,4323,0,X83535,matrix metallopeptidase 14,MMP14
57,1729_at,8717,0,L41690,TNFRSF1A associated via death domain,TRADD
58,205641_s_at,8717,0,NM_003789,TNFRSF1A associated via death domain,TRADD
59,213443_at,8717,0,N36774,TNFRSF1A associated via death domain,TRADD
60,1773_at,2342,1,L00635,"farnesyltransferase, CAAX box, beta",FNTB
61,204764_at,2342,1,NM_002028,"farnesyltransferase, CAAX box, beta",FNTB
62,1773_at,100529261,1,L00635,CHURC1-FNTB readthrough,CHURC1-FNTB
63,204764_at,100529261,1,NM_002028,CHURC1-FNTB readthrough,CHURC1-FNTB
64,177_at,5337,0,U38545,phospholipase D1,PLD1
65,205203_at,5337,0,NM_002662,phospholipase D1,PLD1
66,215723_s_at,5337,0,AJ276230,phospholipase D1,PLD1
67,215724_at,5337,0,AJ276230,phospholipase D1,PLD1
68,179_at,441263,0,U38980,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene",DTX2P1-UPK3BP1-PMS2P11
69,210707_x_at,441263,0,U38980,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene",DTX2P1-UPK3BP1-PMS2P11
70,1861_at,572,0,U66879,BCL2 associated agonist of cell death,BAD
71,209364_at,572,0,U66879,BCL2 associated agonist of cell death,BAD
72,200000_s_at,10594,0,NM_006445,pre-mRNA processing factor 8,PRPF8
73,200001_at,826,0,NM_001749,calpain small subunit 1,CAPNS1
74,200002_at,11224,0,NM_007209,ribosomal protein L35,RPL35
75,200003_s_at,6158,1,NM_000991,ribosomal protein L28,RPL28
76,213223_at,6158,1,AK025866,ribosomal protein L28,RPL28
77,200003_s_at,102465483,1,NM_000991,microRNA 6805,MIR6805
78,213223_at,102465483,1,AK025866,microRNA 6805,MIR6805
79,200004_at,1982,0,NM_001418,eukaryotic translation initiation factor 4 gamma 2,EIF4G2
80,217607_x_at,1982,0,AA733172,eukaryotic translation initiation factor 4 gamma 2,EIF4G2
81,200005_at,8664,0,NM_003753,eukaryotic translation initiation factor 3 subunit D,EIF3D
82,200006_at,11315,0,NM_007262,Parkinsonism associated deglycase,PARK7
83,200007_at,6727,0,NM_003134,signal recognition particle 14,SRP14
84,200008_s_at,2665,0,D13988,GDP dissociation inhibitor 2,GDI2
85,200009_at,2665,0,NM_001494,GDP dissociation inhibitor 2,GDI2
86,200010_at,6135,0,NM_000975,ribosomal protein L11,RPL11
87,200011_s_at,377,0,NM_001659,ADP ribosylation factor 3,ARF3
88,200734_s_at,377,0,BG341906,ADP ribosylation factor 3,ARF3
89,211622_s_at,377,0,M33384,ADP ribosylation factor 3,ARF3
90,200012_x_at,6144,1,NM_000982,ribosomal protein L21,RPL21
91,216479_at,6144,1,AL356414,ribosomal protein L21,RPL21
92,200012_x_at,26771,1,NM_000982,"small nucleolar RNA, C/D box 102",SNORD102
93,216479_at,26771,1,AL356414,"small nucleolar RNA, C/D box 102",SNORD102
94,200012_x_at,619499,1,NM_000982,"small nucleolar RNA, H/ACA box 27",SNORA27
95,216479_at,619499,1,AL356414,"small nucleolar RNA, H/ACA box 27",SNORA27
96,200012_x_at,100131205,1,NM_000982,ribosomal protein L21 pseudogene 28,RPL21P28
97,216479_at,100131205,1,AL356414,ribosomal protein L21 pseudogene 28,RPL21P28
98,200013_at,6152,0,NM_000986,ribosomal protein L24,RPL24
99,214143_x_at,6152,0,AI560573,ribosomal protein L24,RPL24
100,200014_s_at,3183,0,NM_004500,heterogeneous nuclear ribonucleoprotein C (C1/C2),HNRNPC
101,200751_s_at,3183,0,BE898861,heterogeneous nuclear ribonucleoprotein C (C1/C2),HNRNPC
102,212626_x_at,3183,0,AA664258,heterogeneous nuclear ribonucleoprotein C (C1/C2),HNRNPC
103,214737_x_at,3183,0,AV725195,heterogeneous nuclear ribonucleoprotein C (C1/C2),HNRNPC
104,200015_s_at,4735,0,NM_004404,septin 2,SEPT2
105,200778_s_at,4735,0,AI191427,septin 2,SEPT2
106,200016_x_at,3178,1,NM_002136,heterogeneous nuclear ribonucleoprotein A1,HNRNPA1
107,213356_x_at,3178,1,AL568186,heterogeneous nuclear ribonucleoprotein A1,HNRNPA1
108,214280_x_at,3178,0,X79536,heterogeneous nuclear ribonucleoprotein A1,HNRNPA1
109,221919_at,3178,0,AW450929,heterogeneous nuclear ribonucleoprotein A1,HNRNPA1
110,222040_at,3178,0,AI144007,heterogeneous nuclear ribonucleoprotein A1,HNRNPA1
111,200016_x_at,664709,1,NM_002136,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10,HNRNPA1P10
112,213356_x_at,664709,1,AL568186,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10,HNRNPA1P10
113,200017_at,6233,0,NM_002954,ribosomal protein S27a,RPS27A
114,200018_at,6207,1,NM_001017,ribosomal protein S13,RPS13
115,200018_at,85388,1,NM_001017,"small nucleolar RNA, C/D box 14B",SNORD14B
116,200019_s_at,2197,0,NM_001997,"FAU, ubiquitin like and ribosomal protein S30 fusion",FAU
117,200020_at,23435,0,NM_007375,TAR DNA binding protein,TARDBP
118,221264_s_at,23435,0,NM_031214,TAR DNA binding protein,TARDBP
119,200021_at,1072,0,NM_005507,cofilin 1,CFL1
120,200022_at,6141,0,NM_000979,ribosomal protein L18,RPL18
121,214335_at,6141,0,AI669349,ribosomal protein L18,RPL18
122,222297_x_at,6141,0,AV738806,ribosomal protein L18,RPL18
123,200023_s_at,8665,0,NM_003754,eukaryotic translation initiation factor 3 subunit F,EIF3F
124,200865_at,8665,0,AI001896,eukaryotic translation initiation factor 3 subunit F,EIF3F
125,200024_at,6193,0,NM_001009,ribosomal protein S5,RPS5
126,200025_s_at,6155,0,NM_000988,ribosomal protein L27,RPL27
127,200026_at,6164,0,NM_000995,ribosomal protein L34,RPL34
128,200027_at,4677,0,NM_004539,asparaginyl-tRNA synthetase,NARS
129,200028_s_at,56910,0,NM_020151,StAR related lipid transfer domain containing 7,STARD7
130,200029_at,6143,0,NM_000981,ribosomal protein L19,RPL19
131,200030_s_at,5250,0,NM_002635,solute carrier family 25 member 3,SLC25A3
132,200031_s_at,6205,1,NM_001015,ribosomal protein S11,RPS11
133,213350_at,6205,0,BF680255,ribosomal protein S11,RPS11
134,200031_s_at,84546,1,NM_001015,"small nucleolar RNA, C/D box 35B",SNORD35B
135,200032_s_at,6133,0,NM_000661,ribosomal protein L9,RPL9
136,200033_at,1655,1,NM_004396,DEAD-box helicase 5,DDX5
137,200033_at,100616387,1,NM_004396,microRNA 3064,MIR3064
138,200033_at,100616408,1,NM_004396,microRNA 5047,MIR5047
139,200034_s_at,6128,0,NM_000970,ribosomal protein L6,RPL6
140,200035_at,23399,0,NM_015343,CTD nuclear envelope phosphatase 1,CTDNEP1
141,200036_s_at,4736,0,NM_007104,ribosomal protein L10a,RPL10A
142,200037_s_at,11335,0,NM_016587,chromobox 3,CBX3
143,201091_s_at,11335,0,BE748755,chromobox 3,CBX3
144,200038_s_at,6139,1,NM_000985,ribosomal protein L17,RPL17
145,212270_x_at,6139,1,BG168283,ribosomal protein L17,RPL17
146,212537_x_at,6139,1,BE733979,ribosomal protein L17,RPL17
147,214291_at,6139,1,AA522618,ribosomal protein L17,RPL17
148,200038_s_at,26790,1,NM_000985,"small nucleolar RNA, C/D box 58B",SNORD58B
149,212270_x_at,26790,1,BG168283,"small nucleolar RNA, C/D box 58B",SNORD58B
150,212537_x_at,26790,1,BE733979,"small nucleolar RNA, C/D box 58B",SNORD58B
151,214291_at,26790,1,AA522618,"small nucleolar RNA, C/D box 58B",SNORD58B
152,200038_s_at,26791,1,NM_000985,"small nucleolar RNA, C/D box 58A",SNORD58A
153,212270_x_at,26791,1,BG168283,"small nucleolar RNA, C/D box 58A",SNORD58A
154,212537_x_at,26791,1,BE733979,"small nucleolar RNA, C/D box 58A",SNORD58A
155,214291_at,26791,1,AA522618,"small nucleolar RNA, C/D box 58A",SNORD58A
156,200038_s_at,497661,1,NM_000985,chromosome 18 open reading frame 32,C18orf32
157,212270_x_at,497661,1,BG168283,chromosome 18 open reading frame 32,C18orf32
158,212537_x_at,497661,1,BE733979,chromosome 18 open reading frame 32,C18orf32
159,200038_s_at,100124516,1,NM_000985,"small nucleolar RNA, C/D box 58C",SNORD58C
160,212270_x_at,100124516,1,BG168283,"small nucleolar RNA, C/D box 58C",SNORD58C
161,212537_x_at,100124516,1,BE733979,"small nucleolar RNA, C/D box 58C",SNORD58C
162,214291_at,100124516,1,AA522618,"small nucleolar RNA, C/D box 58C",SNORD58C
163,200038_s_at,100526842,1,NM_000985,RPL17-C18orf32 readthrough,RPL17-C18orf32
164,212270_x_at,100526842,1,BG168283,RPL17-C18orf32 readthrough,RPL17-C18orf32
165,212537_x_at,100526842,1,BE733979,RPL17-C18orf32 readthrough,RPL17-C18orf32
166,214291_at,100526842,1,AA522618,RPL17-C18orf32 readthrough,RPL17-C18orf32
167,200039_s_at,5690,0,NM_002794,proteasome subunit beta 2,PSMB2
168,201404_x_at,5690,0,BC000268,proteasome subunit beta 2,PSMB2
169,200040_at,10657,0,NM_006559,"KH RNA binding domain containing, signal transduction associated 1",KHDRBS1
170,201488_x_at,10657,0,BC000717,"KH RNA binding domain containing, signal transduction associated 1",KHDRBS1
171,214185_at,10657,0,AW592227,"KH RNA binding domain containing, signal transduction associated 1",KHDRBS1
172,200041_s_at,7919,1,NM_004640,DEAD-box helicase 39B,DDX39B
173,212384_at,7919,1,AI282485,DEAD-box helicase 39B,DDX39B
174,200041_s_at,692199,1,NM_004640,"small nucleolar RNA, C/D box 84",SNORD84
175,212384_at,692199,1,AI282485,"small nucleolar RNA, C/D box 84",SNORD84
176,200041_s_at,100532737,1,NM_004640,ATP6V1G2-DDX39B readthrough (NMD candidate),ATP6V1G2-DDX39B
177,212384_at,100532737,1,AI282485,ATP6V1G2-DDX39B readthrough (NMD candidate),ATP6V1G2-DDX39B
178,200042_at,51493,0,NM_014306,"RNA 2',3'-cyclic phosphate and 5'-OH ligase",RTCB
179,200043_at,2079,0,NM_004450,enhancer of rudimentary homolog (Drosophila),ERH
180,200044_at,8683,1,NM_003769,serine and arginine rich splicing factor 9,SRSF9
181,201698_s_at,8683,1,NM_003769,serine and arginine rich splicing factor 9,SRSF9
182,200044_at,283459,1,NM_003769,glutamyl-tRNA amidotransferase subunit C,GATC
183,201698_s_at,283459,1,NM_003769,glutamyl-tRNA amidotransferase subunit C,GATC
184,214711_at,283459,0,BE568184,glutamyl-tRNA amidotransferase subunit C,GATC
185,200045_at,23,0,NM_001090,ATP binding cassette subfamily F member 1,ABCF1
186,200046_at,1603,0,NM_001344,defender against cell death 1,DAD1
187,200047_s_at,7528,0,NM_003403,YY1 transcription factor,YY1
188,201901_s_at,7528,0,Z14077,YY1 transcription factor,YY1
189,201902_s_at,7528,0,BG390664,YY1 transcription factor,YY1
190,213494_s_at,7528,0,AA748649,YY1 transcription factor,YY1
191,200048_s_at,10899,0,NM_006694,jumping translocation breakpoint,JTB
